entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,40,0.0,1.0,1,27.0,31,32,2.35,0.0,0.0,3.0,99.51,0,0,0
truck,40,0.0,2.0,2,28.0,26,27,1.3,0.51,1.0,1.0,99.62,1,0,0
truck,40,0.0,3.0,3,27.0,22,23,7.84,2.33,2.0,1.0,97.88,1,0,0
plant,40,0.0,,1,,31,32,,,,,,0,0,0
plant,40,0.0,,2,,26,27,,,,,,1,0,0
plant,40,0.0,,3,,22,23,,,,,,1,0,0
truck,41,0.0,1.0,1,27.0,28,29,0.0,23.96,15.0,0.0,95.01,0,0,0
truck,41,0.0,2.0,2,26.0,25,26,0.0,6.48,6.0,0.0,98.65,1,0,0
truck,41,0.0,3.0,3,27.0,24,25,0.17,14.39,8.0,1.0,96.97,0,0,0
plant,41,0.0,,1,,28,29,,,,,,0,0,0
plant,41,0.0,,2,,25,26,,,,,,1,0,0
plant,41,0.0,,3,,24,25,,,,,,0,0,0
truck,42,0.0,1.0,1,28.0,26,27,10.34,10.33,7.0,5.0,95.69,0,0,0
truck,42,0.0,2.0,2,25.0,25,26,6.78,20.03,15.0,3.0,94.41,1,0,0
truck,42,0.0,3.0,3,26.0,25,26,9.51,5.1,2.0,3.0,96.96,0,0,0
plant,42,0.0,,1,,26,27,,,,,,0,0,0
plant,42,0.0,,2,,25,26,,,,,,1,0,0
plant,42,0.0,,3,,25,26,,,,,,0,0,0
truck,43,0.0,1.0,1,28.0,29,30,7.19,2.24,1.0,3.0,98.04,1,0,0
truck,43,0.0,2.0,2,26.0,25,26,15.14,0.13,1.0,5.0,96.82,0,1,0
truck,43,0.0,3.0,3,26.0,25,24,16.28,1.87,2.0,2.0,96.22,1,0,2
plant,43,0.0,,1,,29,30,,,,,,1,0,0
plant,43,0.0,,2,,25,26,,,,,,0,1,0
plant,43,0.0,,3,,25,24,,,,,,1,0,2
truck,44,0.0,1.0,1,27.0,29,29,1.09,15.07,8.0,1.0,96.63,0,1,1
truck,44,0.0,2.0,2,26.0,25,26,5.45,3.69,3.0,4.0,98.1,0,0,0
truck,44,0.0,3.0,3,26.0,25,24,2.0,18.65,15.0,2.0,95.7,1,0,2
plant,44,0.0,,1,,29,29,,,,,,0,1,1
plant,44,0.0,,2,,25,26,,,,,,0,0,0
plant,44,0.0,,3,,25,24,,,,,,1,0,2
