entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%
truck,40,0.0,1.0,1,15.0,28,29,120.09,0.0,0.0,9.0,74.98
truck,40,0.0,2.0,2,15.0,21,20,95.74,0.0,0.0,8.0,80.05
truck,40,0.0,3.0,3,15.0,12,12,123.94,1.94,1.0,10.0,73.78
truck,40,0.0,4.0,1,16.0,28,29,67.42,0.0,0.0,5.0,85.95
plant,40,0.0,,1,,28,29,,,,,
plant,40,0.0,,2,,21,20,,,,,
plant,40,0.0,,3,,12,12,,,,,
truck,41,0.0,1.0,1,16.0,28,28,67.76,0.0,0.0,6.0,85.88
truck,41,0.0,2.0,2,15.0,18,18,100.39,0.0,0.0,8.0,79.08
truck,41,0.0,3.0,3,14.0,14,14,142.92,1.89,1.0,9.0,69.83
truck,41,0.0,4.0,1,15.0,28,28,100.36,0.0,0.0,7.0,79.09
plant,41,0.0,,1,,28,28,,,,,
plant,41,0.0,,2,,18,18,,,,,
plant,41,0.0,,3,,14,14,,,,,
truck,42,0.0,1.0,1,16.0,29,30,92.11,0.0,0.0,9.0,80.81
truck,42,0.0,2.0,2,15.0,19,20,121.66,0.0,0.0,11.0,74.65
truck,42,0.0,3.0,3,16.0,13,13,90.63,1.24,1.0,6.0,80.86
truck,42,0.0,4.0,1,16.0,29,30,67.85,0.0,0.0,5.0,85.87
plant,42,0.0,,1,,29,30,,,,,
plant,42,0.0,,2,,19,20,,,,,
plant,42,0.0,,3,,13,13,,,,,
truck,43,0.0,1.0,1,16.0,27,28,59.73,0.0,0.0,5.0,87.56
truck,43,0.0,2.0,2,14.0,20,21,126.9,0.0,0.0,9.0,73.56
truck,43,0.0,3.0,3,16.0,12,12,78.77,1.85,1.0,6.0,83.2
truck,43,0.0,4.0,1,15.0,27,28,148.33,0.0,0.0,11.0,69.1
plant,43,0.0,,1,,27,28,,,,,
plant,43,0.0,,2,,20,21,,,,,
plant,43,0.0,,3,,12,12,,,,,
truck,44,0.0,1.0,1,16.0,29,29,72.06,0.0,0.0,7.0,84.99
truck,44,0.0,2.0,2,16.0,21,21,82.45,0.0,0.0,7.0,82.82
truck,44,0.0,3.0,3,15.0,12,12,93.04,2.07,1.0,7.0,80.19
truck,44,0.0,4.0,1,15.0,29,29,133.13,0.0,0.0,10.0,72.26
plant,44,0.0,,1,,29,29,,,,,
plant,44,0.0,,2,,21,21,,,,,
plant,44,0.0,,3,,12,12,,,,,
truck,45,0.0,1.0,1,17.0,27,28,49.18,0.0,0.0,4.0,89.75
truck,45,0.0,2.0,2,16.0,18,19,69.32,0.0,0.0,7.0,85.56
truck,45,0.0,3.0,3,15.0,16,16,133.79,3.0,1.0,10.0,71.5
truck,45,0.0,4.0,1,15.0,27,28,115.32,0.0,0.0,9.0,75.97
plant,45,0.0,,1,,27,28,,,,,
plant,45,0.0,,2,,18,19,,,,,
plant,45,0.0,,3,,16,16,,,,,
truck,46,0.0,1.0,1,16.0,28,29,109.69,0.0,0.0,8.0,77.15
truck,46,0.0,2.0,2,16.0,19,20,83.85,0.0,0.0,7.0,82.53
truck,46,0.0,3.0,3,15.0,15,14,115.92,4.31,2.0,10.0,74.95
truck,46,0.0,4.0,1,16.0,28,29,73.77,0.0,0.0,6.0,84.63
plant,46,0.0,,1,,28,29,,,,,
plant,46,0.0,,2,,19,20,,,,,
plant,46,0.0,,3,,15,14,,,,,
truck,47,0.0,1.0,1,15.0,29,29,111.9,0.0,0.0,10.0,76.69
truck,47,0.0,2.0,2,15.0,18,19,90.67,0.0,0.0,8.0,81.11
truck,47,0.0,3.0,3,15.0,13,13,118.82,1.96,2.0,9.0,74.84
truck,47,0.0,4.0,1,16.0,29,29,80.65,0.0,0.0,7.0,83.2
plant,47,0.0,,1,,29,29,,,,,
plant,47,0.0,,2,,18,19,,,,,
plant,47,0.0,,3,,13,13,,,,,
truck,48,0.0,1.0,1,15.0,29,30,138.75,0.0,0.0,11.0,71.09
truck,48,0.0,2.0,2,16.0,19,19,67.47,0.0,0.0,6.0,85.94
truck,48,0.0,3.0,3,15.0,14,14,101.47,2.26,1.0,7.0,78.39
truck,48,0.0,4.0,1,17.0,29,30,57.14,0.0,0.0,5.0,88.1
plant,48,0.0,,1,,29,30,,,,,
plant,48,0.0,,2,,19,19,,,,,
plant,48,0.0,,3,,14,14,,,,,
truck,49,0.0,1.0,1,16.0,29,30,79.92,0.0,0.0,7.0,83.35
truck,49,0.0,2.0,2,16.0,21,21,93.84,0.0,0.0,8.0,80.45
truck,49,0.0,3.0,3,15.0,12,12,101.6,2.32,1.0,8.0,78.35
truck,49,0.0,4.0,1,16.0,29,30,87.21,0.0,0.0,7.0,81.83
plant,49,0.0,,1,,29,30,,,,,
plant,49,0.0,,2,,21,21,,,,,
plant,49,0.0,,3,,12,12,,,,,
truck,50,0.0,1.0,1,16.0,28,28,88.34,0.0,0.0,8.0,81.6
truck,50,0.0,2.0,2,15.0,20,21,112.69,0.0,0.0,8.0,76.52
truck,50,0.0,3.0,3,15.0,12,12,109.15,3.5,2.0,8.0,76.53
truck,50,0.0,4.0,1,15.0,28,28,102.57,0.0,0.0,9.0,78.63
plant,50,0.0,,1,,28,28,,,,,
plant,50,0.0,,2,,20,21,,,,,
plant,50,0.0,,3,,12,12,,,,,
truck,51,0.0,1.0,1,16.0,29,29,84.57,0.0,0.0,7.0,82.38
truck,51,0.0,2.0,2,16.0,18,19,87.17,5.47,3.0,8.0,80.7
truck,51,0.0,3.0,3,16.0,15,16,82.91,0.0,0.0,6.0,82.73
truck,51,0.0,4.0,1,16.0,29,29,77.63,0.0,0.0,7.0,83.83
plant,51,0.0,,1,,29,29,,,,,
plant,51,0.0,,2,,18,19,,,,,
plant,51,0.0,,3,,15,16,,,,,
truck,52,0.0,1.0,1,16.0,27,28,91.46,0.0,0.0,9.0,80.95
truck,52,0.0,2.0,2,16.0,21,22,85.33,0.0,0.0,6.0,82.22
truck,52,0.0,3.0,3,15.0,13,13,110.2,2.61,2.0,7.0,76.5
truck,52,0.0,4.0,1,16.0,27,28,89.93,0.0,0.0,9.0,81.26
plant,52,0.0,,1,,27,28,,,,,
plant,52,0.0,,2,,21,22,,,,,
plant,52,0.0,,3,,13,13,,,,,
truck,53,0.0,1.0,1,16.0,28,29,78.07,0.0,0.0,6.0,83.73
truck,53,0.0,2.0,2,16.0,18,19,84.4,2.3,1.0,7.0,81.94
truck,53,0.0,3.0,3,16.0,15,15,74.19,0.0,0.0,8.0,84.54
truck,53,0.0,4.0,1,15.0,28,29,147.58,0.0,0.0,11.0,69.25
plant,53,0.0,,1,,28,29,,,,,
plant,53,0.0,,2,,18,19,,,,,
plant,53,0.0,,3,,15,15,,,,,
truck,54,0.0,1.0,1,15.0,28,29,98.09,0.0,0.0,8.0,79.57
truck,54,0.0,2.0,2,16.0,21,21,92.69,0.0,0.0,7.0,80.69
truck,54,0.0,3.0,3,15.0,12,12,116.63,2.53,2.0,9.0,75.17
truck,54,0.0,4.0,1,16.0,28,29,81.9,0.0,0.0,6.0,82.94
plant,54,0.0,,1,,28,29,,,,,
plant,54,0.0,,2,,21,21,,,,,
plant,54,0.0,,3,,12,12,,,,,
truck,55,0.0,1.0,1,15.0,27,28,130.4,0.0,0.0,10.0,72.83
truck,55,0.0,2.0,2,15.0,20,21,95.48,4.4,2.0,9.0,79.19
truck,55,0.0,3.0,3,17.0,14,14,70.79,0.0,0.0,6.0,85.25
truck,55,0.0,4.0,1,16.0,27,28,68.72,0.0,0.0,6.0,85.68
plant,55,0.0,,1,,27,28,,,,,
plant,55,0.0,,2,,20,21,,,,,
plant,55,0.0,,3,,14,14,,,,,
truck,56,0.0,1.0,1,15.0,29,30,105.21,0.0,0.0,8.0,78.08
truck,56,0.0,2.0,2,16.0,19,19,80.41,1.69,1.0,5.0,82.9
truck,56,0.0,3.0,3,15.0,13,13,117.04,0.0,0.0,9.0,75.62
truck,56,0.0,4.0,1,16.0,29,30,75.02,0.0,0.0,8.0,84.37
plant,56,0.0,,1,,29,30,,,,,
plant,56,0.0,,2,,19,19,,,,,
plant,56,0.0,,3,,13,13,,,,,
truck,57,0.0,1.0,1,17.0,28,29,44.8,0.0,0.0,4.0,90.67
truck,57,0.0,2.0,2,15.0,20,20,115.51,3.8,2.0,10.0,75.14
