entity,iter,truck,plant,trips,delivered,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,28,2.0,2,26.0,25,0.0,7.536777247107182,2.0,0.0,98.43,1,0,0
truck,28,3.0,3,23.0,22,0.0,0.12602947319493296,1.0,0.0,99.97,0,0,0
plant,28,,1,,29,,,,,,0,0,0
plant,28,,2,,25,,,,,,1,0,0
plant,28,,3,,22,,,,,,0,0,0
truck,29,1.0,1,32.0,31,2.7661412949892963,1.626020451385557,1.0,4.0,99.08,0,0,0
truck,29,2.0,2,26.0,26,0.0,0.0,0.0,0.0,100.0,0,0,1
truck,29,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,29,,1,,31,,,,,,0,0,0
plant,29,,2,,26,,,,,,0,0,1
plant,29,,3,,23,,,,,,1,0,0
truck,30,1.0,1,32.0,31,3.38369857650774,11.931063098437335,5.0,3.0,96.81,0,0,0
truck,30,2.0,2,27.0,26,0.0,0.21835512599363938,1.0,0.0,99.95,0,0,0
truck,30,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,30,,1,,31,,,,,,0,0,0
plant,30,,2,,26,,,,,,0,0,0
plant,30,,3,,23,,,,,,0,0,1
truck,31,1.0,1,29.0,28,4.199003753165812,42.98583882690089,13.0,3.0,90.17,0,0,0
truck,31,2.0,2,25.0,24,0.0,17.01409144743951,5.0,0.0,96.46,1,0,0
truck,31,3.0,3,24.0,23,0.0,2.306831675983446,2.0,0.0,99.52,1,0,0
plant,31,,1,,28,,,,,,0,0,0
plant,31,,2,,24,,,,,,1,0,0
plant,31,,3,,23,,,,,,1,0,0
truck,32,1.0,1,31.0,30,3.0503986003223797,30.52076152103149,13.0,7.0,93.01,1,0,0
truck,32,2.0,2,26.0,25,0.0,8.081120383892312,6.0,0.0,98.32,0,0,0
truck,32,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,32,,1,,30,,,,,,1,0,0
plant,32,,2,,25,,,,,,0,0,0
plant,32,,3,,23,,,,,,1,0,0
truck,33,1.0,1,32.0,30,3.814694147385506,13.982091088058525,7.0,4.0,96.29,0,0,0
truck,33,2.0,2,26.0,25,0.0,0.7874034033075645,1.0,0.0,99.84,0,0,0
truck,33,3.0,3,24.0,23,0.0,0.8013901529771488,1.0,0.0,99.83,0,0,0
plant,33,,1,,30,,,,,,0,0,0
plant,33,,2,,25,,,,,,0,0,0
plant,33,,3,,23,,,,,,0,0,0
truck,34,1.0,1,32.0,31,5.522492189958859,10.919380801800237,6.0,5.0,96.57,1,0,0
truck,34,2.0,2,26.0,25,0.0,3.155189924574458,2.0,0.0,99.34,1,0,0
truck,34,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,34,,1,,31,,,,,,1,0,0
plant,34,,2,,25,,,,,,1,0,0
plant,34,,3,,23,,,,,,1,0,0
truck,35,1.0,1,30.0,29,3.2848111426553395,33.54256063666992,9.0,5.0,92.33,0,0,0
truck,35,2.0,2,26.0,25,0.0,9.556190520115479,5.0,0.0,98.01,1,0,0
truck,35,3.0,3,23.0,23,0.0,0.7055290147081337,1.0,0.0,99.85,0,0,1
plant,35,,1,,29,,,,,,0,0,0
plant,35,,2,,25,,,,,,1,0,0
plant,35,,3,,23,,,,,,0,0,1
truck,36,1.0,1,30.0,29,0.3437408986210464,32.196869475739874,12.0,3.0,93.22,0,0,0
truck,36,2.0,2,26.0,25,0.0,8.162850039056337,6.0,0.0,98.3,0,0,0
truck,36,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,36,,1,,29,,,,,,0,0,0
plant,36,,2,,25,,,,,,0,0,0
plant,36,,3,,22,,,,,,0,0,0
truck,37,1.0,1,31.0,29,4.488580350322479,23.773306363762117,7.0,5.0,94.11,0,0,0
truck,37,2.0,2,26.0,25,0.0,1.9876878047796254,1.0,0.0,99.59,1,0,0
truck,37,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,37,,1,,29,,,,,,0,0,0
plant,37,,2,,25,,,,,,1,0,0
plant,37,,3,,23,,,,,,0,0,0
truck,38,1.0,1,30.0,28,2.929516177487045,45.4849042056628,15.0,2.0,89.91,0,0,0
truck,38,2.0,2,25.0,25,0.0,13.781866125643475,5.0,0.0,97.13,1,0,1
truck,38,3.0,3,24.0,23,0.0,1.9383164496033203,3.0,0.0,99.6,1,0,0
plant,38,,1,,28,,,,,,0,0,0
plant,38,,2,,25,,,,,,1,0,1
plant,38,,3,,23,,,,,,1,0,0
truck,39,1.0,1,31.0,31,0.49829377527435526,17.056003713635995,10.0,2.0,96.34,0,0,1
truck,39,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,1,0,0
